freq[Hz],er_1,er_2.26,er_4.7,er_10
1000000 ,300,199.56,138.38,94.87
1020000 ,294.12,195.64,135.67,93.01
1050000 ,285.71,190.05,131.79,90.35
1070000 ,280.37,186.5,129.33,88.66
1100000 ,272.73,181.42,125.8,86.24
1120000 ,267.86,178.18,123.55,84.7
1150000 ,260.87,173.53,120.33,82.49
1170000 ,256.41,170.56,118.27,81.08
1200000 ,250,166.3,115.32,79.06
1230000 ,243.9,162.24,112.5,77.13
1260000 ,238.1,158.38,109.83,75.29
1290000 ,232.56,154.7,107.27,73.54
1320000 ,227.27,151.18,104.83,71.87
1350000 ,222.22,147.82,102.5,70.27
1380000 ,217.39,144.61,100.28,68.75
1410000 ,212.77,141.53,98.14,67.28
1450000 ,206.9,137.63,95.43,65.43
1480000 ,202.7,134.84,93.5,64.1
1510000 ,198.68,132.16,91.64,62.83
1550000 ,193.55,128.75,89.28,61.21
1580000 ,189.87,126.3,87.58,60.04
1620000 ,185.19,123.18,85.42,58.56
1660000 ,180.72,120.22,83.36,57.15
1700000 ,176.47,117.39,81.4,55.8
1740000 ,172.41,114.69,79.53,54.52
1780000 ,168.54,112.11,77.74,53.3
1820000 ,164.84,109.65,76.03,52.13
1860000 ,161.29,107.29,74.4,51
1910000 ,157.07,104.48,72.45,49.67
1950000 ,153.85,102.34,70.96,48.65
2000000 ,150,99.78,69.19,47.43
2040000 ,147.06,97.82,67.83,46.5
2090000 ,143.54,95.48,66.21,45.39
2140000 ,140.19,93.25,64.66,44.33
2190000 ,136.99,91.12,63.19,43.32
2240000 ,133.93,89.09,61.78,42.35
2290000 ,131,87.14,60.43,41.43
2340000 ,128.21,85.28,59.14,40.54
2400000 ,125,83.15,57.66,39.53
2450000 ,122.45,81.45,56.48,38.72
2510000 ,119.52,79.5,55.13,37.8
2570000 ,116.73,77.65,53.84,36.91
2630000 ,114.07,75.88,52.62,36.07
2690000 ,111.52,74.18,51.44,35.27
2750000 ,109.09,72.57,50.32,34.5
2820000 ,106.38,70.76,49.07,33.64
2880000 ,104.17,69.29,48.05,32.94
2950000 ,101.69,67.65,46.91,32.16
3020000 ,99.34,66.08,45.82,31.41
3090000 ,97.09,64.58,44.78,30.7
3160000 ,94.94,63.15,43.79,30.02
3240000 ,92.59,61.59,42.71,29.28
3310000 ,90.63,60.29,41.81,28.66
3390000 ,88.5,58.87,40.82,27.98
3470000 ,86.46,57.51,39.88,27.34
3550000 ,84.51,56.21,38.98,26.72
3630000 ,82.64,54.97,38.12,26.13
3720000 ,80.65,53.64,37.2,25.5
3800000 ,78.95,52.52,36.42,24.97
3890000 ,77.12,51.3,35.57,24.39
3980000 ,75.38,50.14,34.77,23.84
4070000 ,73.71,49.03,34,23.31
4170000 ,71.94,47.86,33.18,22.75
4270000 ,70.26,46.73,32.41,22.22
4370000 ,68.65,45.67,31.67,21.71
4470000 ,67.11,44.64,30.96,21.22
4570000 ,65.65,43.67,30.28,20.76
4680000 ,64.1,42.64,29.57,20.27
4790000 ,62.63,41.66,28.89,19.81
4900000 ,61.22,40.73,28.24,19.36
5010000 ,59.88,39.83,27.62,18.94
5130000 ,58.48,38.9,26.97,18.49
5250000 ,57.14,38.01,26.36,18.07
5370000 ,55.87,37.16,25.77,17.67
5500000 ,54.55,36.28,25.16,17.25
5620000 ,53.38,35.51,24.62,16.88
5750000 ,52.17,34.71,24.07,16.5
5890000 ,50.93,33.88,23.49,16.11
6030000 ,49.75,33.09,22.95,15.73
6170000 ,48.62,32.34,22.43,15.38
